JD Mag MagErr Instrument Filter Name MJD Survey Name_upper
2453688.63 15.885 0.025 Swope1 H SN2005hk 53688.12999999989 CSP SN2005HK
2453688.63 15.92 0.025 Swope1 H SN2005hk 53688.12999999989 CSP SN2005HK
2453692.57 15.755 0.027 Swope1 H SN2005hk 53692.06999999983 CSP SN2005HK
2453692.58 15.786 0.025 Swope1 H SN2005hk 53692.080000000075 CSP SN2005HK
2453696.62 15.646 0.021 Swope1 H SN2005hk 53696.12000000011 CSP SN2005HK
2453696.63 15.657 0.023 Swope1 H SN2005hk 53696.12999999989 CSP SN2005HK
2453697.56 15.591 0.025 Swope1 H SN2005hk 53697.060000000056 CSP SN2005HK
2453697.56 15.599 0.029 Swope1 H SN2005hk 53697.060000000056 CSP SN2005HK
2453701.58 15.579 0.022 Swope1 H SN2005hk 53701.080000000075 CSP SN2005HK
2453701.58 15.537 0.022 Swope1 H SN2005hk 53701.080000000075 CSP SN2005HK
2453705.54 15.624 0.019 Swope1 H SN2005hk 53705.04000000004 CSP SN2005HK
2453705.55 15.655 0.024 Swope1 H SN2005hk 53705.049999999814 CSP SN2005HK
2453710.61 15.798 0.023 Swope1 H SN2005hk 53710.10999999987 CSP SN2005HK
2453710.62 15.802 0.029 Swope1 H SN2005hk 53710.12000000011 CSP SN2005HK
2453717.6 16.101 0.038 Swope1 H SN2005hk 53717.10000000009 CSP SN2005HK
2453717.61 16.04 0.045 Swope1 H SN2005hk 53717.10999999987 CSP SN2005HK
2453719.61 16.191 0.047 Swope1 H SN2005hk 53719.10999999987 CSP SN2005HK
2453719.63 16.108 0.046 Swope1 H SN2005hk 53719.12999999989 CSP SN2005HK
2453722.55 16.238 0.032 duPont H SN2005hk 53722.049999999814 CSP SN2005HK
2453722.56 16.262 0.032 duPont H SN2005hk 53722.060000000056 CSP SN2005HK
2453727.57 16.432 0.054 Swope1 H SN2005hk 53727.06999999983 CSP SN2005HK
2453727.58 16.423 0.064 Swope1 H SN2005hk 53727.080000000075 CSP SN2005HK
2453731.56 16.678 0.063 Swope1 H SN2005hk 53731.060000000056 CSP SN2005HK
2453731.58 16.514 0.062 Swope1 H SN2005hk 53731.080000000075 CSP SN2005HK
2453743.55 16.969 0.041 duPont H SN2005hk 53743.049999999814 CSP SN2005HK
2453743.57 16.964 0.05 duPont H SN2005hk 53743.06999999983 CSP SN2005HK
